lane_id|priority|metro_cluster|source_family|target_type|search_anchor|email_recovery_path|expected_output|notes
EFS-001|P1|New York City / Long Island / North Jersey|APPROVED_VENDOR_LIST|hood-first local operators|FDNY approved commercial cooking list|approved list -> official domain -> contact/privacy/schema|send-ready or enrichment|High-density operator cluster with repeat recoveries already proven.
EFS-002|P1|Hudson Valley / Westchester / Fairfield|BUSINESS_DIRECTORY|regional hood and fire mixed-adjacent operators|AllBiz + MapQuest + official hood pages|directory -> official site -> contact/service pages|send-ready|Good fit for local fire-adjacent hood vendors with usable inboxes.
EFS-003|P1|Pittsburgh / Western PA / Eastern Ohio|BUSINESS_DIRECTORY|owner-led hood operators|AllBiz / chamber / local listings|directory -> official site -> footer/contact|send-ready or reserve|Thin-web operators often expose email in local listings first.
EFS-004|P1|South Florida / Central Florida|OFFICIAL_SITE_RECOVERY|phone-first hood specialists|official site + privacy + contact + schema|official recovery pages first|enrichment promotion|Florida has many real hood specialists with hidden first-party inboxes.
EFS-005|P1|Chicago / Chicagoland|APPROVED_VENDOR_LIST|legit but thin-web specialists|city or fire-adjacent approved sources + official site|approved source -> official site -> schema/contact|send-ready or enrichment|High upside but many sites are thin or partially broken.
EFS-006|P2|Salt Lake City / St. George / Utah|GOVERNMENT_LISTING|licensed local operators|state fire marshal or licensing pages|gov list -> official site -> contact/footer|research first|Strong legitimacy lane, but email often hidden.
EFS-007|P2|Atlanta / Birmingham / Carolinas|GOOGLE_MAPS_PLUS_OFFICIAL|owner-led hood specialists|Maps trail + official site|maps -> official site -> contact/privacy|research or send-ready|Useful where official sites are weak but local radius is clear.
EFS-008|P2|Los Angeles / Orange County / Inland Empire|BUSINESS_DIRECTORY|mixed-adjacent hood operators|directories + official service pages|directory -> official site -> service/contact|reserve-heavy send-ready|Large pool, but quality must be tiered aggressively.
EFS-009|P2|Seattle / Portland / Oregon|OFFICIAL_SITE_RECOVERY|phone-first specialist vendors|official site, contact, JS, schema|official recovery path only|enrichment promotion|Good first-party inbox recovery potential.
EFS-010|P3|Midwest secondary metros|LONG_TAIL_DIRECTORY|low-system local operators|MapQuest / AllBiz / regional directories|directory -> website -> contact|research-heavy|Use only after P1 and P2 metros are dug deeply.
